1 1:-36.863159 2:5 3:0  4:0.368650 5:3.004764 6:0.047036 7:5.000000
1 1:-75.003540 2:5 3:0  4:0.368650 5:2.765429 6:0.133724 7:5.000000
1 1:-32.927826 2:6 3:0  4:0.485227 5:6.304595 6:0.137909 7:6.000000
1 1:-50.122620 2:6 3:0  4:0.485227 5:8.076914 6:0.136224 7:6.000000
1 1:-37.459686 2:6 3:0  4:0.485227 5:8.310295 6:0.139181 7:6.000000
1 1:-64.656837 2:6 3:0  4:0.485227 5:6.608630 6:0.147861 7:6.000000
1 1:-70.053986 2:5 3:0  4:0.368650 5:7.035535 6:0.266891 7:5.000000
1 1:-33.542217 2:6 3:0  4:0.485227 5:7.699049 6:0.137216 7:6.000000
1 1:-55.222595 2:2 3:0  4:0.145039 5:6.706880 6:0.133642 7:2.000000
1 1:-34.263435 2:2 3:0  4:0.145039 5:6.669593 6:0.131059 7:2.000000
1 1:-33.017128 2:5 3:0  4:0.391680 5:3.061018 6:0.051134 7:5.000000
1 1:-79.398148 2:5 3:0  4:0.391680 5:3.046148 6:0.424703 7:5.000000
1 1:-53.163162 2:5 3:0  4:0.391680 5:3.123924 6:0.043497 7:5.000000
1 1:-51.517746 2:5 3:0  4:0.391680 5:2.620603 6:0.050954 7:5.000000
1 1:-48.307953 2:5 3:0  4:0.391680 5:3.287318 6:0.057816 7:5.000000
1 1:-44.496956 2:2 3:1  4:0.140847 5:7.474672 6:0.141104 7:2.000000
1 1:-41.914368 2:2 3:1  4:0.140847 5:6.920648 6:0.135905 7:2.000000
1 1:-50.242882 2:5 3:0  4:0.394950 5:3.196906 6:0.051224 7:5.000000
1 1:-52.535805 2:1 3:1  4:0.097016 5:7.126669 6:0.135891 7:2.000000
1 1:-71.614326 2:5 3:0  4:0.394950 5:6.780720 6:0.266854 7:5.000000
1 1:-52.483734 2:1 3:0  4:0.023902 5:3.289572 6:0.048202 7:1.000000
1 1:-65.966118 2:5 3:0  4:0.394950 5:6.935735 6:0.160705 7:5.000000
1 1:-64.002373 2:5 3:0  4:0.394950 5:2.945574 6:0.054448 7:5.000000
1 1:-64.119781 2:2 3:0  4:0.096548 5:2.252064 6:0.047258 7:2.000000
1 1:-49.806152 2:2 3:0  4:0.096548 5:6.590716 6:0.136798 7:2.000000
1 1:-48.723312 2:5 3:0  4:0.394950 5:6.599377 6:0.136739 7:5.000000
1 1:-52.052231 2:1 3:1  4:0.094512 5:3.486074 6:0.052405 7:2.000000
1 1:-24.901508 2:3 3:0  4:0.217826 5:3.349358 6:0.051426 7:3.000000
1 1:-37.039898 2:2 3:0  4:0.101576 5:2.968515 6:0.049885 7:2.000000
1 1:-66.320587 2:3 3:0  4:0.217826 5:7.010379 6:0.198999 7:3.000000
1 1:-38.275757 2:2 3:0  4:0.144361 5:7.400937 6:0.131620 7:2.000000
1 1:-34.641258 2:2 3:0  4:0.144361 5:7.638579 6:0.130925 7:2.000000
1 1:-56.303741 2:3 3:0  4:0.217826 5:6.415486 6:0.134089 7:3.000000
1 1:-47.918098 2:2 3:0  4:0.101576 5:7.229743 6:0.136717 7:2.000000
1 1:-44.154480 2:5 3:0  4:0.203418 5:7.596356 6:0.133148 7:5.000000
1 1:-27.912960 2:5 3:0  4:0.203418 5:3.068190 6:0.047519 7:5.000000
1 1:-31.559025 2:5 3:0  4:0.203418 5:2.533718 6:0.047744 7:5.000000
1 1:-75.010399 2:2 3:0  4:0.107858 5:2.859710 6:0.135258 7:2.000000
1 1:-52.802299 2:2 3:0  4:0.107140 5:8.005055 6:0.133575 7:2.000000
1 1:-30.645798 2:5 3:0  4:0.203418 5:3.601934 6:0.050329 7:5.000000
