1 1:-54.312294 2:9 3:0  4:0.339668 5:2.440443 6:0.047200 7:9.000000 
1 1:-37.395695 2:3 3:0  4:0.095525 5:2.805708 6:0.050594 7:3.000000 
1 1:-72.832260 2:7 3:0  4:0.368006 5:3.083316 6:0.099393 7:7.000000 
1 1:-73.237000 2:11 3:0  4:0.414493 5:1.986483 6:0.097800 7:11.000000 
1 1:-47.349037 2:7 3:1  4:0.470268 5:2.754544 6:0.053264 7:13.000000 
1 1:-65.853065 2:8 3:0  4:0.258722 5:2.834965 6:0.060812 7:8.000000 
1 1:-73.592186 2:10 3:0  4:0.421691 5:3.003596 6:0.112536 7:10.000000 
1 1:-59.537834 2:10 3:0  4:0.435614 5:2.174636 6:0.043836 7:10.000000 
1 1:-68.023285 2:10 3:1  4:0.444847 5:2.862488 6:0.082011 7:11.000000 
1 1:-35.120491 2:3 3:0  4:0.121403 5:3.057559 6:0.051057 7:3.000000 
1 1:-46.199203 2:8 3:0  4:0.361043 5:2.869380 6:0.051623 7:8.000000 
1 1:-65.191505 2:11 3:0  4:0.450073 5:2.613020 6:0.062980 7:11.000000 
1 1:-63.060402 2:3 3:0  4:0.090822 5:2.588108 6:0.050557 7:3.000000 
1 1:-56.848557 2:9 3:0  4:0.298322 5:2.650542 6:0.057895 7:9.000000 
1 1:-68.467079 2:8 3:0  4:0.339909 5:2.539995 6:0.074489 7:8.000000 
1 1:-65.427467 2:3 3:0  4:0.104298 5:2.920993 6:0.062802 7:3.000000 
1 1:-69.738312 2:10 3:0  4:0.396772 5:2.444941 6:0.068406 7:10.000000 
1 1:-74.172668 2:11 3:0  4:0.411330 5:2.354998 6:0.119286 7:11.000000 
1 1:-76.508369 2:4 3:0  4:0.219624 5:3.091059 6:0.138030 7:4.000000 
1 1:-63.118782 2:4 3:0  4:0.134651 5:3.136627 6:0.054624 7:4.000000 
1 1:-54.978142 2:7 3:0  4:0.206958 5:2.655848 6:0.050437 7:7.000000 
1 1:-63.112625 2:5 3:0  4:0.194632 5:2.672903 6:0.051671 7:5.000000 
1 1:-66.174507 2:7 3:0  4:0.245164 5:2.490415 6:0.078891 7:7.000000 
1 1:-64.952484 2:7 3:0  4:0.219384 5:2.809089 6:0.052127 7:7.000000 
1 1:-70.041801 2:8 3:1  4:0.420809 5:3.067531 6:0.109397 7:10.000000 
1 1:-60.179268 2:8 3:0  4:0.249712 5:2.715381 6:0.057398 7:8.000000 
1 1:-67.585793 2:6 3:0  4:0.224237 5:2.247139 6:0.070549 7:6.000000 
1 1:-37.887585 2:4 3:0  4:0.125909 5:3.349842 6:0.056576 7:4.000000 
1 1:-55.316620 2:9 3:0  4:0.318689 5:2.666507 6:0.049448 7:9.000000 
1 1:-56.824051 2:7 3:0  4:0.218736 5:2.675354 6:0.052147 7:7.000000 
1 1:-63.050636 2:4 3:0  4:0.324091 5:2.069061 6:0.044849 7:4.000000 
1 1:-69.073730 2:4 3:0  4:0.150345 5:3.156268 6:0.083557 7:4.000000 
1 1:-64.901749 2:6 3:0  4:0.254761 5:2.444021 6:0.054461 7:6.000000 
1 1:-65.707916 2:10 3:0  4:0.439396 5:2.472477 6:0.057724 7:10.000000 
1 1:-74.916130 2:10 3:0  4:0.462124 5:3.052025 6:0.138408 7:10.000000 
1 1:-77.553375 2:9 3:0  4:0.368977 5:2.308520 6:0.186462 7:9.000000 
1 1:-73.372070 2:9 3:0  4:0.392222 5:2.844846 6:0.097903 7:9.000000 
1 1:-59.638748 2:5 3:0  4:0.170772 5:2.397837 6:0.048774 7:5.000000 
1 1:-56.880386 2:4 3:0  4:0.304353 5:2.633619 6:0.050926 7:4.000000 
1 1:-57.692139 2:7 3:0  4:0.329217 5:2.575543 6:0.050533 7:7.000000 
1 1:-81.737221 2:6 3:0  4:0.363803 5:2.688153 6:0.375638 7:6.000000 
1 1:-51.608994 2:10 3:0  4:0.360574 5:2.797226 6:0.052078 7:10.000000 
1 1:-66.686409 2:7 3:0  4:0.259753 5:3.166121 6:0.081088 7:7.000000 
1 1:-35.618435 2:7 3:0  4:0.281473 5:2.968915 6:0.053752 7:7.000000 
1 1:-75.097572 2:9 3:0  4:0.437411 5:2.522543 6:0.138408 7:9.000000 
1 1:-32.630924 2:1 3:2  4:0.254646 5:2.735636 6:0.049605 7:7.000000 
1 1:-43.542442 2:8 3:0  4:0.319567 5:2.137377 6:0.044162 7:8.000000 
1 1:-51.038940 2:3 3:1  4:0.350414 5:2.639326 6:0.047313 7:11.000000 
1 1:-48.222527 2:4 3:0  4:0.130253 5:2.998055 6:0.057245 7:4.000000 
1 1:-75.542198 2:7 3:0  4:0.250711 5:2.301162 6:0.123242 7:7.000000 
1 1:-68.388687 2:8 3:0  4:0.317585 5:2.643617 6:0.076292 7:8.000000 
1 1:-52.513283 2:8 3:1  4:0.497696 5:2.964691 6:0.052706 7:12.000000 
1 1:-67.004478 2:11 3:0  4:0.414493 5:2.765244 6:0.081937 7:11.000000 
1 1:-61.834488 2:6 3:0  4:0.220555 5:2.621336 6:0.050825 7:6.000000 
1 1:-53.480110 2:7 3:0  4:0.209630 5:2.823372 6:0.051224 7:7.000000 
1 1:-63.929512 2:7 3:0  4:0.292317 5:3.296812 6:0.054487 7:7.000000 
1 1:-78.926544 2:6 3:0  4:0.312553 5:2.945715 6:0.180741 7:6.000000 
1 1:-66.401009 2:5 3:1  4:0.267593 5:2.931023 6:0.084215 7:6.000000 
1 1:-46.181702 2:5 3:0  4:0.356854 5:2.788861 6:0.049229 7:5.000000 
1 1:-47.867783 2:5 3:0  4:0.179814 5:2.543124 6:0.049045 7:5.000000 
1 1:-69.318184 2:3 3:1  4:0.318241 5:2.798392 6:0.083891 7:10.000000 
1 1:-42.173321 2:10 3:0  4:0.379435 5:2.366082 6:0.049000 7:10.000000 
1 1:-56.022026 2:8 3:0  4:0.363196 5:2.391841 6:0.045881 7:8.000000 
1 1:-60.394867 2:8 3:0  4:0.348371 5:2.734366 6:0.055338 7:8.000000 
1 1:-40.746704 2:4 3:0  4:0.138460 5:2.864278 6:0.054803 7:4.000000 
1 1:-68.355965 2:4 3:0  4:0.134865 5:2.744355 6:0.065952 7:4.000000 
1 1:-69.965034 2:4 3:1  4:0.278134 5:2.797439 6:0.074800 7:8.000000 
1 1:-67.169563 2:9 3:0  4:0.437411 5:2.534372 6:0.073081 7:9.000000 
1 1:-55.769371 2:4 3:1  4:0.293792 5:2.422738 6:0.049637 7:9.000000 
1 1:-21.638218 2:5 3:0  4:0.154405 5:2.714558 6:0.053062 7:5.000000 
1 1:-64.892006 2:4 3:0  4:0.140017 5:3.273822 6:0.054421 7:4.000000 
1 1:-30.909973 2:10 3:1  4:0.488887 5:2.547545 6:0.047036 7:15.000000 
1 1:-71.617477 2:2 3:0  4:0.085897 5:2.952091 6:0.113477 7:2.000000 
1 1:-63.780510 2:8 3:0  4:0.317585 5:2.956514 6:0.049335 7:8.000000 
1 1:-62.368919 2:4 3:1  4:0.447079 5:2.050416 6:0.046994 7:12.000000 
1 1:-72.150238 2:8 3:0  4:0.354170 5:2.908974 6:0.100588 7:8.000000 
